Component,Feature,Skal flyttes til Github Projects,Flyttekommentar,Flyttet til Github Projects,Usertesting,Done ✔️,V1,V2,V3,Done,Documentation only,Comments
aws account,SSO,,,,x,x,,,,,,
aws account,Configuration change logs,x,,,,,,,,,,wiz.io?
aws account,Guardrails in control tower,x,,,,,,,,,,
aws account,,,,,,,,,,,,
,,,,,,,,,,,,
network,VPC,,,,x,x,,,,,,
network,Subnet,,,,x,x,,,,,,
network,Hosted zone (root domain),,,,x,x,,,,,,
network,Route53,,,,x,x,,,,,,
network,1 ALB for A-record,x,,,,,x,,,,,skal vi ha 1 alb for mangen applikasjonar?
network,/health for ALB target group,x,,,,,x,,,,,"Defaults to / today, should have sane default"
network,EC2 target group,,,,x,x,,,,,,
network,Auto-approval of new subdomains,x,,,,,,,,,,
network,Unique CIDR blocks per account?,x,,,,,,,,,,Do we need this? Pro: we can link VPCs easier if need. Can assign block to account from a list
,,,,,,,,,,,,
containers,ECS Cluster,,,,x,x,,,,,,
containers,Github action for updating task definition,x,,,x,,,,,,,
containers,Recommended container storage location: ECR,x,,,x,,,,,,,"ECR, github, ??"
containers,minimal reference-app w/database,x,,,x,,,,,,,should be a part of golden path setup
containers,Service auto-scaling configuration,x,,,,,,,,,,Have a default policy for auto-scaling based on CPU? To show how it is done?
containers,Many applications w/1 VPC/ALB,x,,,x,,,,,,,
containers,CI/CD toolchain / GitOps - oppdaterar terraform repo,x,,,x,,,,,,,"Is it possible to run in Fargate, to avoid giving too much permissions for a Github Action? Or should we use wiz.io ?"
,,,,,,,,,,,,
observability,Cloudwatch + Grafana?,x,,,,,x,,,,,Managed Grafana not in Stockholm yet
observability,Cloudwatch application logs,x,,,x,,,,,,,Documentation on how to use the logs
observability,Metrics for use of golden path,x,,,x,,,,,,,
observability,Deploy metrics,x,,,x,,,,,,,Oppsett fra Endre?
observability,Metrics: Cloudwatch or Prometheus?,x,,,,,,x,,,,
observability,Alerts: Cloudwatch or Grafana?,x,,,,,,x,,,,
observability,Tracing - X-ray?,x,,,,,,x?,x,,,
observability,Application Logging in ECS Which strategy?,x,,,x,,,,,,,
observability,NAT gateway logs,x,,,,,,x,,,,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-nat-gateway-cloudwatch.html
observability,VPC Flow logs,x,,,,,,x,,,,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html
,,x,,,,,,,,,,
,,,,,,,,,,,,
database,Storage: Aurora vs serverless?,x,,,x,,x,,,,,currently serverless
database,Configuration for more than 1 database instance?,x,,,,,,,,,,write & read?
database,Migrate to aurora from old database - Runbook heller ,x,,,,,x,,,,,Not sure if V1: Consider using existing RDS to save time for now: https://docs.google.com/document/d/13orKKnr8tvTK1V30UaCPdSs5s-XLyGmeHuniSXNqx9k/edit#heading=h.zcq8y1fge9zj
database,Connect from localhost - doc on how to ,x,,,x,,,,,,,We know of one team which does this extensively.
database,Security group for application,x,,,x,,,,,,,Missing inbound/outbound rules today
database,Example alarm bundled with golden path?,x,,,,,,,,,,A simple CPU alarm
database,"Enable ""performance insight"" ",,,,x,,,,,,,free tier have 7 days logs
database,schema migration,x,,,,,,,,,,Best practice - in CI/CD? How to deal with? Good point for documentation. Maybe have in reference-app?
,,,,,,,,,,,,
Div,"Testing (end to end, like Nightly for Okctl)",x,,,,,x,,,,,Idea: Use Cypress to run proper end 2 end test.
Div,IPv6,x,,,x,,,,,,,
Div,"Golden path: linting, tfsec etc",x,,,,,,,,,,
Div,Golden path: rename bootstrap to remote_state,,,,x,,,,,,,
Div,Golden path: rename environment to project?,x,,,,,,,,,,Discuss
